rayon,l_all_inv,f_all_inv,f_nonextr_inv,l_nonextr_inv,oblast,year,employment,agriculture,production,retail,ppi
Abay,2868180.0,3092.0,3092.0,981955.0,East-Kazakhstan,2018,6.8,22795.4,1593.9,1869.4,100.7
Abay,2514048.0,405350.0,67923.0,529073.0,East-Kazakhstan,2019,6.8,25865.6,2352.1,2470.9,103.4
Abay,7040473.0,5593.0,5593.0,784053.0,East-Kazakhstan,2020,6.7,29614.9,3201.9,2720.2,121.1
Abay,3671620.0,1643.0,1643.0,1125547.0,East-Kazakhstan,2021,6.8,34162.9,5753.1,3228.1,116.6
Abay,6258213.0,0.0,0.0,1723622.0,East-Kazakhstan,2022,7.0,40779.1,7437.8,4868.6,
Abay,9983169.0,0.0,0.0,1584030.0,East-Kazakhstan,2023,6.9,46943.0,9585.4,5919.4,101.5
Abay,9818866.0,31979.0,31979.0,1832447.0,East-Kazakhstan,2024,7.8,,8260.17,5971.27,
Altay,25538293.0,2130584.0,2040723.0,5749229.0,East-Kazakhstan,2018,36.1,25260.6,29546.364999999998,42340.5,100.7
Altay,27895170.0,2977510.0,2977099.0,7148585.0,East-Kazakhstan,2019,35.7,29748.3,38207.287000000004,39997.8,103.4
Altay,29987560.0,2216515.0,2216515.0,7593207.0,East-Kazakhstan,2020,34.8,36350.0,39591.631,51234.0,121.1
Altay,55558999.0,2971405.0,2950067.0,17173615.0,East-Kazakhstan,2021,34.4,46159.9,45657.301,55946.0,116.6
Altay,61994384.0,2399720.0,2265070.0,18173390.0,East-Kazakhstan,2022,33.5,53219.1,47812.581000000006,76040.70000000001,
Altay,75441800.0,1915017.0,1876304.0,22278851.0,East-Kazakhstan,2023,32.7,47760.0,53114.058000000005,69467.7,101.5
Altay,81001063.0,2627357.0,2609360.0,23672700.0,East-Kazakhstan,2024,32.5,,,,
Ayagoz,20499128.0,61712184.0,291579.0,11339631.0,East-Kazakhstan,2018,32.7,26989.0,138291.3,14128.0,100.7
Ayagoz,15656393.0,179722065.0,9865541.0,11410383.0,East-Kazakhstan,2019,32.6,30862.9,157586.0,15791.0,103.4
Ayagoz,13781632.0,160232393.0,14332274.0,7804406.0,East-Kazakhstan,2020,32.3,35044.3,176730.8,17970.4,121.1
Ayagoz,13346463.0,133515460.0,22019524.0,8356142.0,East-Kazakhstan,2021,32.5,39369.4,213676.0,22349.3,116.6
Ayagoz,20205541.0,84721896.0,33086652.0,11204834.0,East-Kazakhstan,2022,31.0,48119.0,393822.3,30725.7,
Ayagoz,36080606.0,78294347.0,11681838.0,21962089.0,East-Kazakhstan,2023,30.8,23990.3,700823.3,40205.3,101.5
Ayagoz,103953611.0,46115882.0,18473017.0,56326120.0,East-Kazakhstan,2024,30.9,,977433.77,39790.07,
Besqaraghay,10352520.0,26703.0,14242.0,498695.0,East-Kazakhstan,2018,8.6,23830.9,1364.1,3063.4,100.7
Besqaraghay,2769920.0,12576.0,3882.0,422222.0,East-Kazakhstan,2019,8.4,23476.2,1341.4,3360.2,103.4
Besqaraghay,3273685.0,51434.0,51434.0,840425.0,East-Kazakhstan,2020,8.0,32035.6,2285.8,3658.2,121.1
Besqaraghay,3582297.0,564327.0,491929.0,651044.0,East-Kazakhstan,2021,8.0,38991.2,2054.5,4286.7,116.6
Besqaraghay,9630669.0,50756.0,0.0,2552148.0,East-Kazakhstan,2022,8.4,38743.1,1745.4,7163.3,
Besqaraghay,14450645.0,109793.0,0.0,3880376.0,East-Kazakhstan,2023,8.9,35619.9,2847.0,8334.3,101.5
Besqaraghay,20398098.0,250000.0,0.0,7973110.0,East-Kazakhstan,2024,8.9,,2180.07,8763.27,
Boroduliha,1775356.0,6842960.0,189707.0,351840.0,East-Kazakhstan,2018,18.9,28245.0,43111.8,8030.6,100.7
Boroduliha,3903445.0,7429083.0,473668.0,608581.0,East-Kazakhstan,2019,19.0,33757.8,41173.5,8883.5,103.4
Boroduliha,7317317.0,5233204.0,423039.0,946238.0,East-Kazakhstan,2020,18.8,42819.2,46307.4,10200.9,121.1
Boroduliha,14284875.0,4675109.0,153480.0,1375267.0,East-Kazakhstan,2021,18.5,68732.7,51879.1,6333.2,116.6
Boroduliha,19678545.0,8287453.0,0.0,1123947.0,East-Kazakhstan,2022,17.7,68220.1,58081.7,12297.5,
Boroduliha,34843836.0,239462.0,82397.0,1882326.0,East-Kazakhstan,2023,16.2,67770.9,64942.8,11708.3,101.5
Boroduliha,41377810.0,174338.0,988.0,13409169.0,East-Kazakhstan,2024,16.9,,66189.77,13896.77,
Glubokoe,7686350.0,6629009.0,1597772.0,2890091.0,East-Kazakhstan,2018,33.5,32978.1,37154.4,27536.7,100.7
Glubokoe,9880868.0,4097913.0,1590182.0,3346083.0,East-Kazakhstan,2019,33.0,40125.3,36880.1,31386.6,103.4
Glubokoe,11096937.0,5155251.0,901031.0,2714175.0,East-Kazakhstan,2020,33.3,43677.4,36422.9,33672.4,121.1
Glubokoe,28740609.0,4336142.0,2075629.0,18489996.0,East-Kazakhstan,2021,32.6,62600.6,50613.8,36865.6,116.6
Glubokoe,36079367.0,2849070.0,956136.0,22509543.0,East-Kazakhstan,2022,31.8,72881.2,95343.24,45491.6,
Glubokoe,38509620.0,3532759.0,1042843.0,16630423.0,East-Kazakhstan,2023,30.4,69330.0,92386.199,40590.1,101.5
Glubokoe,52050487.0,12459876.0,12200949.0,27612138.0,East-Kazakhstan,2024,30.5,,,,
Kokpekti,4873060.0,51788.0,28788.0,1210658.0,East-Kazakhstan,2018,14.5,31996.3,3848.6,4321.7,100.7
Kokpekti,6338400.0,842891.0,842891.0,1450697.0,East-Kazakhstan,2019,14.4,39851.1,4832.3,4772.5,103.4
Kokpekti,13401240.0,2981810.0,2981811.0,5221677.0,East-Kazakhstan,2020,13.7,48520.9,4213.4,5169.6,121.1
Kokpekti,21714566.0,49163.0,49163.0,1505802.0,East-Kazakhstan,2021,13.7,70348.9,29859.8,8518.5,116.6
Kokpekti,11884551.0,8000416.0,8000416.0,1536727.0,East-Kazakhstan,2022,13.2,61593.9,23978.582,7282.0,
Kokpekti,10846820.0,4997060.0,4997060.0,4377854.0,East-Kazakhstan,2023,13.5,44852.4,12117.93,7952.130800000001,101.5
Kokpekti,23965777.0,18166861.0,18166861.0,1089232.0,East-Kazakhstan,2024,13.100000000000001,,998.37,4707.47,
